Area-Weighted Arkansas-White-Red Basin, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,28.84,0.05
189612,22.35,-6.44
189712,26.90,-1.89
189812,33.16,4.37
189912,27.45,-1.34
190012,29.43,0.64
190112,21.16,-7.63
190212,31.32,2.53
190312,26.06,-2.73
190412,27.47,-1.32
190512,35.75,6.96
190612,32.26,3.47
190712,28.85,0.06
190812,33.48,4.69
190912,25.64,-3.15
191012,19.70,-9.09
191112,27.34,-1.45
191212,26.21,-2.58
191312,28.78,-0.01
191412,26.72,-2.07
191512,37.96,9.17
191612,25.10,-3.69
191712,20.78,-8.01
191812,28.20,-0.59
191912,31.00,2.21
192012,30.30,1.51
192112,28.22,-0.57
192212,27.34,-1.45
192312,37.32,8.53
192412,23.81,-4.98
192512,25.67,-3.12
192612,31.71,2.92
192712,33.44,4.65
192812,32.54,3.75
192912,29.28,0.49
193012,26.62,-2.17
193112,26.96,-1.83
193212,28.14,-0.65
193312,25.28,-3.51
193412,22.10,-6.69
193512,30.60,1.81
193612,20.69,-8.10
193712,25.52,-3.27
193812,28.66,-0.13
193912,23.61,-5.18
194012,27.10,-1.69
194112,39.99,11.20
194212,33.65,4.86
194312,23.34,-5.45
194412,32.36,3.57
194512,33.56,4.77
194612,30.73,1.94
194712,26.06,-2.73
194812,27.95,-0.84
194912,33.70,4.91
195012,29.70,0.91
195112,30.97,2.18
195212,21.08,-7.71
195312,23.81,-4.98
195412,20.45,-8.34
195512,24.21,-4.58
195612,18.65,-10.14
195712,38.23,9.44
195812,30.43,1.64
195912,31.39,2.60
196012,30.33,1.54
196112,32.57,3.78
196212,26.59,-2.20
196312,20.07,-8.72
196412,25.30,-3.49
196512,28.17,-0.62
196612,22.55,-6.24
196712,27.85,-0.94
196812,31.83,3.04
196912,30.55,1.76
197012,25.17,-3.62
197112,28.32,-0.47
197212,27.32,-1.47
197312,37.57,8.78
197412,31.75,2.96
197512,28.73,-0.06
197612,23.26,-5.53
197712,28.17,-0.62
197812,25.58,-3.21
197912,31.11,2.32
198012,22.53,-6.26
198112,29.53,0.74
198212,30.60,1.81
198312,27.26,-1.53
198412,31.09,2.30
198512,34.96,6.17
198612,33.23,4.44
198712,33.57,4.78
198812,26.44,-2.35
198912,28.49,-0.30
199012,34.85,6.06
199112,32.46,3.67
199212,33.17,4.38
199312,32.88,4.09
199412,30.09,1.30
199512,30.03,1.24
199612,31.28,2.49
199712,33.41,4.62
199812,30.66,1.87
199912,31.03,2.24
200012,29.35,0.56
200112,27.67,-1.12
200212,27.97,-0.82
200312,24.51,-4.28
200412,35.39,6.60
200512,24.89,-3.90
200612,27.39,-1.40
200712,33.11,4.32
200812,33.69,4.90
200912,33.12,4.33
201012,27.88,-0.91
201112,23.33,-5.46
201212,21.71,-7.08
201312,30.53,1.74
201412,25.90,-2.89
201512,43.24,14.45
201612,27.96,-0.83
201712,32.81,4.02
